title,title_en,website,phone,address,address_en,email,coords
"Ψυρρή","Psirri","https://el.wikipedia.org/wiki/%CE%A8%CF%85%CF%81%CF%81%CE%AE",\N,"Αθήνα,  Ελλάδα",\N,\N,"37.9783606, 23.7247958"
"Πλατεία Συντάγματος ","Plateia Syntagmatos",\N,\N,"Λεωφόρος Βασιλίσσης Αμαλίας Αθήνα 105 63,  Ελλάδα ",\N,\N,"37.9755253, 23.7349038"
"Μουσείο Αρχαίας Ελληνικής Τεχνολογίας Κώστα Κοτσανά","Kotsanas Museum of Ancient Greek Technology","http://kotsanas.com/index.php",\N,\N,\N,\N,"37.9777215, 23.7381691"
"Θέατρο Διονύσου ","Theater of Dionysus",\N,\N,"Μιτσαίων 25 Αθήνα 105 58,  Ελλάδα ",\N,\N,"37.9703658, 23.7278553"
"Ναός του Ολυμπίου Διός","Temple of Olympian Zeus","http://odysseus.culture.gr/h/3/eh355.jsp?obj_id=2488",\N,"Λεωφόρος Βασιλίσσης Όλγας & Λεωφόρος Αμαλίας Αθήνα 105 57,  Ελλάδα",\N,\N,"37.9693, 23.7331"
"Μουσείο Κυκλαδικής Τέχνης ","Museum of Cycladic Art","http://www.cycladic.gr/",\N,"",\N,"","37.9754956, 23.7428758"
"Μουσείο Μπενάκη Ελληνικού Πολιτισμού","Benaki Museum of Greek Culture","https://www.benaki.org/index.php?option=com_buildings&view=building&id=11&Itemid=523&lang=en",\N,"Κουμπάρη 1 & Βασ. Σοφίας, 106 74 Αθήνα","1 Koumbari St. & Vas. Sofias Ave., 106 74 Athens",\N,"37.975952, 23.740446"
"Κεραμεικός Νεκροταφείο","Kerameikos Cemetery",\N,\N,"Between Ermou, Peireos, and Asomaton Streets Αθήνα 105 53,  Ελλάδα",\N,\N,"37.9779552, 23.7171687"
"ΧΟΡΟΘΕΑΤΡΟ \"ΔΟΡΑ Στράτου\" ","Dora Stratou Greek Dances Theatre",\N,\N,"Αρακύνθου 33 Filopappou Hill, Plaka Αθήνα 117 41,  Ελλάδα ",\N,\N,"37.9677697, 23.7175415"
"Μουσείο Μπενάκη Ισλαμικής Τέχνης ","Benaki Museum of Islamic Art","http://www.benaki.gr/",\N,"",\N,"","37.9791552, 23.7202494"
"Πλατεία Ομονοίας ","Omonia Square","",\N,"Αθήνα,  Ελλάδα ",\N,"","37.9841465, 23.7280893"
"Βιβλιοθήκη του Αδριανού ","Hadrian's Library","http://odysseus.culture.gr/h/1/gh151.jsp?obj_id=2370",\N,"Άρεως 3 Αθήνα 105 55,  Ελλάδα ",\N,\N,"37.9755137, 23.7259945"
"Ναός Αγίου Γεωργίου ","Chapel of St. George","http://www.johnsanidopoulos.com/2013/05/the-chapel-of-st-george-on-lykavittos.html",\N,"Λυκαβηττός Αθήνα,  Ελλάδα ",\N,"","37.9703647, 23.72866"
"Καθολικός Καθεδρικός Ναός Αγίου Διονυσίου Αρεοπαγίτη","Agios Dionysios Areopagitis Catholic Cathedral","https://saintdenis.gr/",\N,"Πανεπιστημίου 24 Αθήνα 999-20,  Ελλάδα",\N,\N,"37.9790927, 23.734765"
"Πλατεία Κολωνακίου","Kolonaki Square","https://athensattica.com/el/ti-na-deite/axiotheata/platia-kolonakiou/",\N,"Pl.Filikis Eterias Αθήνα 10673,  Ελλάδα",\N,\N,"37.97745674096186, 23.74102663548436"
"Εθνική Βιβλιοθήκη της Ελλάδος - Βαλλιάνειο κτίριο ","National Library of Greece","http://www.nlg.gr/",\N,"32 Panepistimiou Street Αθήνα 106 79,  Ελλάδα ",\N,\N,"37.9811186, 23.7330699"
"Πρώτο Νεκροταφείο Αθηνών ","First Cemetery of Athens",\N,\N,"Diagora & Frynonos Διαγόρα & Φρυνωνος Αθήνα 116 36,  Ελλάδα ",\N,\N,"37.9645515, 23.7356166"
"Νομισματικό Μουσείο ","Numismatic Museum","http://odysseus.culture.gr/h/1/gh151.jsp?obj_id=16501",\N,"Πανεπιστημίου 12 Ιλίου Μέλαθρον Αθήνα 999-20,  Ελλάδα ",\N,\N,"37.9778413, 23.7354211"
"Ζάππειο Μέγαρο - Συνεδριακό και Εκθεσιακό Κέντρο ","Zappeion Conference & Exhibition Center",\N,\N,"Λεωφόρος Βασιλίσσης Όλγας Αθήνα,  Ελλάδα ",\N,\N,"37.971341, 23.7365537"
"Εθνικό Ιστορικό Μουσείο (Παλιά Βουλή)","National History Museum (Old Parliament)","https://nhmuseum.gr/poioi-eimaste/to-megaro-tis-palaias-voulis",\N,"Οδός Σταδίου Αθήνα 10561,  Ελλάδα",\N,\N,"37.97787027010609, 23.732846030634676"
"Οδός Ερμού","Ermou Street","https://el.wikipedia.org/wiki/%CE%9F%CE%B4%CF%8C%CF%82_%CE%95%CF%81%CE%BC%CE%BF%CF%8D",\N,"Αθήνα,  Ελλάδα",\N,\N,"37.9769307, 23.7244758"
"Μητρόπολη Αθηνών ","Metropolitan Cathedral of Athens","",\N,"Πλατεία Μητροπόλεως Αθήνα 999 20,  Ελλάδα ",\N,"","37.9753071, 23.729986"
"Οδός Πανδρόσου, Μοναστηράκι ","Pandrossou",\N,\N,"Pandrossou Αθήνα 10555,  Ελλάδα ",\N,\N,"37.9755928, 23.7276009"
"Εθνικό Μουσείο Σύγχρονης Τέχνης ","National Museum of Contemporary Art","http://www.emst.gr/",\N,"",\N,\N,"37.9630089, 23.7253329"
"Μουσείο Σχολικής Ζωής και Εκπαίδευσης","School Life and Education Museum","http://www.ekedisy.gr/",\N,\N,\N,\N,"37.9721049, 23.7299059"
"Υμητός ","Hymettus",\N,\N,"Καισαριανή Αθήνα,  Ελλάδα ",\N,\N,"37.9463889, 23.8166667"
"Ιερός Ναός Αγίων Ισιδώρων ","Church of Saint Isidore",\N,\N,"Λυκαβηττός Αθήνα 114 71,  Ελλάδα ",\N,\N,"37.9822644, 23.7428364"
"Αμαξοστοιχία-Θέατρο Το Τρένο στο Ρουφ","To Treno sto Rouf railway carriage theater","http://totrenostorouf.gr/",\N,"Λεωφόρος Κωνσταντινουπόλεως Προαστιακός Σταθμός Ρουφ Αθήνα 11854,  Ελλάδα",\N,\N,"37.974439, 23.704659"
"Θέατρο Παλλάς ","Pallas Theater",\N,\N,"",\N,\N,"37.9770715, 23.7350138"
"Εθνική Λυρική Σκηνή (Θέατρο Ολύμπια) ","Olympia Theater",\N,\N,"Ακαδημίας 59, Μαυρομιχάλη Αθήνα 106 79,  Ελλάδα ",\N,\N,"37.9824922, 23.7333045"
"Ελληνικό Παιδικό Μουσείο","Hellenic Children's Museum","http://www.hcm.gr/","+302103312995","Βασ. Γεωργίου Β΄ 17-19 & Ρηγίλλης Αθήνα 106 75,  Ελλάδα","Rigillis &Vasileos Georgiou B' Ave 17-19, Athens 106 75",\N,"37.9735042, 23.7444331"
"Κέντρο Πολιτισμού «Ελληνικός Κόσμος»","Cultural Centre Hellenic Cosmos","http://www.fhw.gr/cosmos/",\N,"Pireos 254 Tavros Αθήνα 17778,  Ελλάδα",\N,\N,"37.962487, 23.691064"
"Ολυμπιακό Αθλητικό Κέντρο Αθηνών \"Σπύρος Λούης\" ","Olympic Athletic Center of Athens O.A.K.A. Spiros Louis","http://www.oaka.com.gr/",\N,"Κηφισίας 37 Μαρούσι Αθήνα 151 23,  Ελλάδα ",\N,\N,"38.0386851, 23.7864059"
"Μουσείου Ελληνικής Λαϊκής Τέχνης ","Greek Folk Art Museum (Museo Ellinikis Laikis Technis)",\N,\N,"Κυδαθηναίων 17 Πλάκα Αθήνα,  Ελλάδα ",\N,\N,"37.9714972, 23.7298098"
"Ιερός Ναός Αγίας Σοφίας Ακροπόλεως ","St. Sophia’s Church of Acropolis",\N,\N,"ΔΙΟΝΥΣΙΟΥ ΑΡΕΟΠΑΓΙΤΟΥ 45 Αθήνα 117 42,  Ελλάδα ",\N,\N,"37.9696936, 23.7253736"
"Μουσείο Φρυσίρα ","Frissiras Museum","http://www.frissirasmuseum.com/",\N,"",\N,"","37.9722754, 23.73229"
"Οδός Πειραιώς","Pireos Street",\N,\N,\N,\N,\N,"37.9774781205986, 23.71361399746853"
"Άγαλμα Κολοκοτρώνη ","Kolokotroni Statue",\N,\N,"Σταδίου 13 Αθήνα 10561,  Ελλάδα ",\N,\N,"37.9780265, 23.7330465"
"Μουσείο Ιστορίας Πανεπιστημίου Αθηνών ","Museum of the History of Athens University","http://www.uoa.gr/to-panepistimio/moyseia/istorias-toy-panepisthmioy-a8hnon.html",\N,"Θόλου 5, Πλάκα Αθήνα 105 56,  Ελλάδα ",\N,\N,"37.9731575, 23.7269076"
"Αθηναΐς Πολυχώρος Πολιτισμού ","Athinais",\N,\N,"Καστοριάς 34-36 Βοτανικός Αθήνα 104 47,  Ελλάδα ",\N,\N,"37.983323, 23.710841"
"Φεστιβάλ Αθηνών & Επιδαύρου ","Athens and Epidaurus Festival","http://www.greekfestival.gr/",\N,"Χατζηχρήστου 23 Αθήνα 117 42,  Ελλάδα ",\N,\N,"37.974517, 23.7315682"
"Λίμνη Μπελέτσι","Lake Beletsi","https://el.wikipedia.org/wiki/%CE%9B%CE%AF%CE%BC%CE%BD%CE%B7_%CE%9C%CF%80%CE%B5%CE%BB%CE%AD%CF%84%CF%83%CE%B9",\N,"Ιπποκράτειος Πολιτεία 190 14",\N,\N,"38.2127387, 23.8047451"
"Ναός της Αρτέμιδας ","The Sanctuary of Artemis",\N,\N,"Βραυρώνα Αθήνα 19003,  Ελλάδα ",\N,\N,"37.9260269,23.9914894"
"Ακτή Αλίμου ","Beach Club Alimos",\N,\N,"Παραλία Ποσειδώνος Καλαμάκι, Άλιμος Αθήνα 174 55,  Ελλάδα ",\N,\N,"37.9019622, 23.7192538"
"Αγία Φωτεινή Ιλισσού ","Agia Fotini Ilissos",\N,\N,"Αρδηττού 3 Αθήνα 105 57,  Ελλάδα ",\N,\N,"37.9675899, 23.7343348"
"Ελληνική Ευαγγελική Εκκλησία ","Greek Evangelical Church",\N,\N,"Λεωφ.Αμαλίας 50 Plaka Αθήνα 999-20,  Ελλάδα ",\N,\N,"37.9702585, 23.7314223"
"Εκκλησία Άγιοι Θεώδοροι ","Agioi Theodoroi Church","http://odysseus.culture.gr/h/1/gh151.jsp?obj_id=1685",\N,"Agion Theodoron Πλατεία Κλαυθμώνος Αθήνα 105 61,  Ελλάδα ",\N,\N,"37.979356, 23.7300212"
"Πλατεία Αβησσυνίας","Avysinias Square","https://el.wikipedia.org/wiki/%CE%A0%CE%BB%CE%B1%CF%84%CE%B5%CE%AF%CE%B1_%CE%91%CE%B2%CE%B7%CF%83%CF%83%CF%85%CE%BD%CE%AF%CE%B1%CF%82",\N,"Μοναστηράκι Αθήνα,  Ελλάδα",\N,\N,"37.9766105, 23.7239613"
"Εθνικό Θέατρο ","National Theatre of Greece","http://www.n-t.gr/",\N,"Αγίου Κωνσταντίνου 22-24 Αθήνα 10437,  Ελλάδα ",\N,"","37.9849258, 23.7252066"
"Ρωμαϊκά λουτρά ","Ancient Bath","http://odysseus.culture.gr/h/1/gh151.jsp?obj_id=12841",\N,"Λεωφόρος Βασιλίσσης Αμαλίας 405 Αθήνα 10557,  Ελλάδα ",\N,\N,"37.971571, 23.7337806"
"Ίδρυμα Εικαστικών Τεχνών & Μουσικής ","B. & M. Theocharakis Foundation","http://www.thf.gr/default.aspx?lang=en-US&page=1",\N,"1 Merlin Αθήνα 106 71,  Ελλάδα ",\N,\N,"37.9762621, 23.7383388"
"Μουσείο Παύλου και Αλεξάνδρας Κανελλοπούλου","Museum of Pavlos and Alexandra Kanellopoulos","https://pacf.gr/",\N,"Θεωριας 12 & Πάνος, Πλάκα Αθήνα 105 55,  Ελλάδα",\N,\N,"37.9728031, 23.7259674"
"ΜΟΥΣΕΙΟ ΣΥΝΑΙΣΘΗΜΑΤΩΝ ","Emotions Museum",\N,\N,"",\N,\N,"37.9661666, 23.7229121"
"Θέατρο Χυτήριο ","Theatro Chytirio",\N,\N,"Ιερά Οδός 44 Αθήνα 104 35,  Ελλάδα ",\N,\N,"37.9805908, 23.7128811"
"Ιερός Ναός Αγίου Νικολάου ","Church of Agios Nikolaos",\N,\N,"Πλατεία Αγίου Νικολάου Αθήνα 104 46,  Ελλάδα ",\N,\N,"35.5163964, 24.022263"
"Πινακοθήκη Νίκου Χατζηκυριάκου-Γκίκα ","Pinakothiki Nikos Hadjikyriakos-Ghikas",\N,\N,"Κριεζώτου 3 Αθήνα,  Ελλάδα ",\N,\N,"37.9770351, 23.736178"
"Άγιος Νικόλαος Πευκακίων ","Saint Nicholas Pefkakia",\N,\N,"Ασκληπιού 38 Αθήνα 10680,  Ελλάδα ",\N,\N,"37.9833927, 23.7389083"
"Μητρόπολη Ορθοδόξων Αρμενίων ","Armenian Orthodox Cathedral",\N,\N,"Κριεζη 10 Αθήνα 10553,  Ελλάδα ",\N,\N,"37.9793873, 23.721887"
"Ίκαρος Μνημείο Πεσόντων Αεροπόρων ","Icarus Monument of Fallen Aviators",\N,\N,"Πλατεία Καραϊσκάκη Αθήνα,  Ελλάδα ",\N,\N,"37.9856689, 23.7215745"
"Ίδρυμα Βασίλη & Ελίζας Γουλανδρή","Idryma Vasili & Elizas Goulandri","https://goulandris.gr/el/",\N,\N,\N,\N,"37.9697342,23.740585"
"Τζένη Καρέζη ","Tzeni Karezi",\N,\N,"Ακαδημίας 3 Αθήνα 10671,  Ελλάδα ",\N,\N,"37.9769089, 23.7376266"
"Μουσείο Ελληνικής Παιδικής Τέχνης ","Museum of Greek Children's Art","",\N,"Kόδρου 9 Πλάκα Αθήνα,  Ελλάδα ",\N,"","37.9729844, 23.7324861"
"Εκκλησία Αγίας Αικατερίνης ","Ekklisia Agias Ekaterinis",\N,\N,"Χαιρεφώντος 10 Αθήνα 105 58,  Ελλάδα ",\N,\N,"37.971016, 23.7309053"
"Πύλη του Μεντρεσέ","Gate of Medrese","https://el.wikipedia.org/wiki/%CE%9C%CE%B5%CE%BD%CF%84%CF%81%CE%B5%CF%83%CE%AD%CF%82_%CE%91%CE%B8%CE%B7%CE%BD%CF%8E%CE%BD",\N,"Πελοπίδα Αθήνα 105 55,  Ελλάδα","Pelopida Athens 105 55",\N,"37.9744815, 23.7272547"
"Ιστορικό Αρχείο Εθνικής Τράπεζας ","National Bank of Greece Historical Archive","",\N,"146, Tritis Septemvriou Αθήνα 11251,  Ελλάδα ",\N,"","37.9974064, 23.7314401"
"Mουσείο Iστορίας της Eλληνικής Ενδυμασίας ","Museum of the History of the Greek Costume of the Lyceum Club of Greek Women","http://odysseus.culture.gr/h/1/gh151.jsp?obj_id=3380",\N,"7 Dimokritou Αθήνα 106 71,  Ελλάδα ",\N,\N,"37.9789062, 23.7376958"
"Θέατρο Τέχνης Κάρολος Κουν - Φρυνίχου ","Theatro Technis Karolos Koun - Frinichou","http://www.theatro-technis.gr/",\N,"Φρυνίχου 14 Αθήνα,  Ελλάδα ",\N,\N,"37.97, 23.7305556"
"Εκκλησία Αγίου Παύλου ","Agios Pavlos Church",\N,\N,"Χίου & Κρήτης Αθήνα 10438,  Ελλάδα ",\N,\N,"35.2228559, 24.000455"
"Θεοτόκης - Oldmarket ","Theotokis - Oldmarket",\N,\N,"Νορμανού 8 Μοναστηράκι Αθήνα 10555,  Ελλάδα ",\N,\N,"37.9764032, 23.7242946"
"Δυναμό ","Dynamo",\N,\N,"Παραμυθίας 28-30 Αθήνα 10435,  Ελλάδα ",\N,\N,"37.9734933, 23.7074547"
"Ιερός Ναός  Παναγιάς Γρηγορούσας ","Church of  Panagias Grigorousas",\N,\N,"Δεξίππου & Ταξιαρχών Αθήνα 10555,  Ελλάδα ",\N,\N,"37.974756, 23.7259546"
"Σοφίτα Vintage Shop ","Sofita Vintage Shop",\N,\N,"Ερυσίχθονος 6 Αθήνα 118 51,  Ελλάδα ",\N,\N,"37.9758491, 23.7159513"
"Μουσείο Ζωολογίας Πανεπιστημίου Αθηνών","Mousio Zoologias Panepistimiou Athinon","https://www.uoa.gr/to_panepistimio/moyseia/moyseio_zoologias/",\N,\N,\N,\N,"37.984053, 23.7671323"
"Capsis Πολιτιστικό & Συνεδριακό Κέντρο ","Capsis Cultural Exhibition & Conference Center",\N,\N,"Πάρνωνος 10 Μαρούσι Αθήνα 15125,  Ελλάδα ",\N,\N,"38.0471532, 23.8085945"
"Επιγραφικόν Μουσείον ","Epigraphical Museum","http://odysseus.culture.gr/h/1/eh151.jsp?obj_id=3348",\N,"Τοσίτσα 1 Αθήνα,  Ελλάδα ",\N,"","37.98855556, 23.73230556"
"Σιδηροδρομικό Μουσείο Αθηνών ","Athens Railway Museum",\N,\N,"Σιώκου 4 Αθήνα 104 43,  Ελλάδα ",\N,\N,"37.9480836, 23.6428065"
"Μουσείο Γ. Γουναρόπουλου ","Gounaropoulos Museum","http://www.gounaropoulos.gr/gr/main.html",\N,"",\N,\N,"37.9750069, 23.7615629"
"Πάρκο Ριζάρη ","Parko Rizari","",\N,"Αθήνα 106 76,  Ελλάδα ",\N,"","37.9754511, 23.7471906"
"Πλατεία Θεμιστοκλέους ","Platia Themistokleous",\N,\N,"Αθήνα 185 35,  Ελλάδα ",\N,\N,"37.9857123, 23.7335551"
"Θέατρο Της Κούκλας ","Greek Puppet Theatre","http://www.greekpuppettheatre.gr/info/",\N,"Ψαρουδάκη 34 Πατήσια Αθήνα 10445,  Ελλάδα ",\N,"","38.0120913, 23.725303"
"Ίδρυμα Πολιτισμού και Εκπαίδευσης \"Ανδρέας Λεντάκης\" ","A. Lentakis Foundation of Culture and Education",\N,\N,"47 Agion Assomaton Αθήνα 105 53,  Ελλάδα ",\N,\N,"37.9799815, 23.7194214"
"Αυλητής Art ","Avlitis Art",\N,\N,"Χριστοκοπίδου 17 Χριστοκοπίδου 17 & Αυλητών Αθήνα 105 54,  Ελλάδα ",\N,\N,"37.9777612, 23.7234664"
"Πλατεία Ελευθερίας(Κουμουνδούρου) ","Platia Eleftherias(Koumoundourou)",\N,\N,"Αθήνα 105 53,  Ελλάδα ",\N,\N,"37.980477, 23.7218173"
"Εκκλησία Αγία Τριάδα ","Church Holy Trinity",\N,\N,"Λεωφ. Κηφισίας 82 Αθήνα 115 26,  Ελλάδα ",\N,\N,"37.9917149, 23.7664391"
"Μνημείο του Άγνωστου Καλλιτέχνη ","Mnimio tou Agnostou Kallitechni",\N,\N,"Σουρή 3 Αθήνα 105 57,  Ελλάδα ",\N,\N,"37.9730207, 23.7344529"
"Άγιος Ιωάννης της Κολώνας ","Agios Ioannis tis Kolonas",\N,\N,"Ευρυπίδου 70 Αθήνα,  Ελλάδα ",\N,\N,"37.9803242,23.7223545"
"Θέατρο Τέχνης Κάρολος Κουν ","Theatro Technis Karolos Koun","http://www.theatro-technis.gr/",\N,"Πεσμαζόγλου 5 Αθήνα 105 64,  Ελλάδα ",\N,"","37.97, 23.7305556"
"Άγαλμα Χάρι Τρούμαν ","Agalma Harry Trouman",\N,\N,"Λεωφ. Βασιλέως Κωνσταντίνου 42 Αθήνα 116 35,  Ελλάδα ",\N,\N,"37.9726803, 23.7435956"
"Πλατεία Εξαρχείων ","Platia Eksarchion","",\N,"Αθήνα 106 83,  Ελλάδα ",\N,"","37.9866453, 23.7349041"
"Εικαστικό Κύκλος Σιάντι ","Ikastikos Kyklos Sianti",\N,\N,"Λεωφόρος Βασιλέως Αλεξάνδρου 2 Αθήνα 116 34,  Ελλάδα ",\N,\N,"37.9744488, 23.7500955"
"Ίδρυμα ΔΕΣΤΕ ","Deste Foundation Centre For Contemporary Art",\N,\N,"Filellinon 11 & Em. Pappa Street N. Ionia Αθήνα 142 34,  Ελλάδα ",\N,\N,"38.0398338, 23.7600244"
"Θεάτρο Κατερίνας Βασιλάκου ","Theater  Katerina Vassilakou",\N,\N,"Προφήτου Δανιήλ 3 & Πλαταιών Αθήνα 104 35,  Ελλάδα ",\N,\N,"37.9829885, 23.7146207"
"Από Κοινού ","Apo Koinou",\N,\N,"Ευπατριδών 4 στο Γκάζι, σταθμός μετρό: Κεραμεικός Αθήνα 11854,  Ελλάδα ",\N,\N,"37.9799187, 23.7130135"
"Μέγαρο Μαξίμου ","Maximos Mansion","http://primeminister.gr/",\N,"Ηρόδωτου Αττικού 19 Αθήνα 10674,  Ελλάδα ",\N,"","37.9734783, 23.740567"
"Οδός Αποστόλου Παύλου ","Apostolou Pavlou Street",\N,\N,"Θησείο Αθήνα,  Ελλάδα ",\N,\N,"37.9734227, 23.7202995"
"Εκκλησία Γεννήσεως Χριστού Χριστοκοπίδου ","Genniseos Christou Christokopidou Church",\N,\N,"Χριστοκοπίδου 1 Αθήνα 10554,  Ελλάδα ",\N,\N,"37.9776194, 23.7238274"
"Γκαλερί Ρώμα ","Roma Gallery","https://roma-gallery.com/",\N,"",\N,"","37.9785807, 23.7388047"
"Θέατρο Οδού Κυκλάδων «Λευτέρης Βογιατζής» ","Theatre Odou Kykladon \"Lefteris Vogiatzis\"",\N,\N,"",\N,\N,"37.9988292, 23.7364214"
"Θέατρο ΙΛΙΣΙΑ ","Theater Ilisia",\N,\N,"Παπαδιαμαντοπουλου 4 Αθήνα,  Ελλάδα ",\N,\N,"37.978035, 23.752471"
"Σπαθάρειο Μουσείο Θεάτρου Σκιών ","Spathario Museum of Shadow Theatre",\N,\N,"Βορείου Ηπείρου 27 Μεσογείων Αθήνα 999-20,  Ελλάδα ",\N,\N,"38.0531755, 23.8121648"
"θέατρο Βρετάνια ","Theatro Vretania","",\N,"Πανεπιστημίου 7 Αθήνα,  Ελλάδα ",\N,"","37.9769907, 23.7355676"
"Μελίνα Μερκούρη Μουσείο και Πολιτιστικό Κέντρο ","Melina Mercuri Museum and Cultural Centre",\N,\N,"Ηρακλειδών 66 Αθήνα 11851,  Ελλάδα ",\N,\N,"37.9761356, 23.7145291"
"Ανδριάντας Δαμασκηνού ","Statue of Damaskinos Papandreou",\N,\N,"Πλατεία Μητροπόλεως Αθήνα 105 56,  Ελλάδα ",\N,\N,"37.9754446, 23.7294271"
"Χώρος Ιστορικής Μνήμης 1941-1944","Memorial Site 1941-1944","https://korai4.gr/",\N,"Κοραή 4 Αθήνα 10564,  Ελλάδα",\N,\N,"37.9797963, 23.7325438"
"Αίθουσα τέχνης Τεχνοχώρος ","Technohoros Art Gallery",\N,\N,"Λεμπέση 4 Μακρυγιάννη Αθήνα 117 42,  Ελλάδα ",\N,\N,"37.9677752, 23.729418"
"Μόνιμη Έκθεση Άνθρωποι και Εργαλεία ","Permanent Exhibition Man and Tools",\N,\N,"Πανός 22 Αθήνα,  Ελλάδα ",\N,\N,"37.9733311, 23.7258215"
"Πλατεία Φιλομούσου Εταιρείας","Philomousou Etairias Square","https://athensattica.com/el/ti-na-deite/axiotheata/platia-filomousou-eterias/",\N,"Αθήνα,  Ελλάδα",\N,\N,"37.9719365, 23.7312282"
"Ίδρυμα Άγγελου και Λητώς Κατακουζηνού ","Angelos and Leto Katakouzenos Foundation",\N,\N,"4 Leoforos Vassilissis Amalias Syntagma Αθήνα 105 57,  Ελλάδα ",\N,\N,"37.9744353, 23.735182"
"Προεδρικό Μέγαρο ","Presidential Mansion",\N,\N,"Χερόδου Αττικού Αθήνα 106 74,  Ελλάδα ",\N,\N,"37.9727877, 23.7408305"
"Μνημείο Εθνικής Συμφιλίωσης ","Memorial of National Reconciliation",\N,\N,"Πλατεία Κλαυθμώνος Αθήνα 105 59,  Ελλάδα ",\N,\N,"37.9794723, 23.7314066"
"Μουσείο Ελληνικής Γαστρονομίας ","Greek Gastronomy Museum","http://www.gastronomymuseum.gr/",\N,"Αγίου Δημητρίου 13 Ψυρρή Αθήνα 105 54,  Ελλάδα ",\N,"","37.9791876, 23.7255136"
"Εκκλησία της Αγίας Παρασκευής ","Agia Paraskevi Church",\N,\N,"Οδός Αιóλου Αθήνα 105 60,  Ελλάδα ",\N,\N,"37.9793498, 23.7283647"
"Ιερός Ναός Άγιου Παντελεήμονα ","Church of St. Panteleimon",\N,\N,"113 Acharnon Αθήνα 104 46,  Ελλάδα ",\N,\N,"37.9969372, 23.7269825"
"Μουσείο Πολιτικών Εξόριστων Άη Στράτη","Exile Museum","https://www.exile-museum.gr/",\N,"31 Agion Assomaton Keramikos Αθήνα 105 53,  Ελλάδα",\N,\N,"37.9791906, 23.7200141"
"Tο Αγάλμα Του Λόρδου Βύρωνα ","Statue of Lord Byron",\N,\N,"Λεωφόρος Αμαλίας 1 Εθνικός Κήπος Αθήνα 10557,  Ελλάδα ",\N,\N,"37.9708254, 23.7335768"
"Το Λουτρό των Αέρηδων","The Bathhouse of the Winds","https://bathhouse-of-the-winds.business.site/",\N,\N,\N,\N,"37.974276670242325, 23.726976179310107"
"Παραλία Πόρτο Ράφτη ","Porto Rafti Beach",\N,\N,"Αθήνα,  Ελλάδα ",\N,\N,"37.8712125, 24.0227753"
