name,days_hours_open,site,phone,email,address,category,latitude,longitude
"TeddyBoy Bar ","Wednesday 10 PM - 5 AM\
Thursday 10 PM - 5 AM\
Friday 10 PM - 5 AM\
Saturday 10 PM - 5 AM\
Sunday 10 PM - 7 AM\
Monday 10 PM - 7 AM\
Tuesday 10 PM - 5 AM\
","http://www.teddyboybar.com","","mistras888@msn.com","taki 18, 10554 Athens, Greece","Arts and Entertainment","37.97842","23.72381"
"B & M Theocharakis Foundation for the Fine Arts and Music ","Wednesday 10 AM - 6 PM\
Thursday 10 AM - 6 PM\
Friday 10 AM - 6 PM\
Saturday 10 AM - 6 PM\
Sunday 10 AM - 6 PM\
Monday 10 AM - 6 PM\
Tuesday 10 AM - 6 PM\
","http://www.thf.gr/","21 0361 1206","","9, Vassilissis Sofias Avenue & 1, Merlin Street, 10671 Athens, Greece","Arts and Entertainment","37.976035926077","23.738373848646"
"Kolokotroni 9 ","Wednesday 10 AM - 3 AM\
Thursday 10 AM - 3 AM\
Friday 10 AM - 3 AM\
Saturday 10 AM - 3 AM\
Sunday 10 AM - 3 AM\
Monday 10 AM - 4 AM\
Tuesday 3 PM - 12 AM\
","","21 0323 2795","giakoumakis.dim@gmail.com","","Arts and Entertainment",\N,\N
"PLAYGROUND - Dance School - Athens, Greece | Facebook - 64 Reviews - 493 Photos","Wednesday 9 AM - 11 PM\
Thursday 9 AM - 11 PM\
Friday 9 AM - 11 PM\
Saturday 9 AM - 11 PM\
Sunday 9 AM - 11 PM\
Monday 9 AM - 11 PM\
Tuesday 9 AM - 11 PM\
","http://www.playgroundforthearts.com/","21 0854 4836","info@playgroundforthearts.com","Voutsara 4-6, 11855 Athens, Greece","Arts and Entertainment","37.9769999","23.70347"
"DotAhart - Athens art lab - Pláka, Attiki, Greece | Facebook","Wednesday 11 AM - 6 PM\
Thursday 11 AM - 6 PM\
Friday 11 AM - 6 PM\
Saturday 11 AM - 8 PM\
Sunday 11 AM - 8 PM\
Monday 11 AM - 6 PM\
Tuesday CLOSED\
","http://dotahartlab.wordpress.com/","21 0323 9503","dotahartlab@gmail.com","12 Afroditis st, 105 58 Pláka, Attiki, Greece","Arts and Entertainment","37.9712639","23.7308941"
"Blank Wall Gallery ","Wednesday 4:30 PM - 9:30 PM\
Thursday 4:30 PM - 9:30 PM\
Friday 4:30 PM - 9:30 PM\
Saturday CLOSED\
Sunday 4:30 PM - 9:30 PM\
Monday 11:30 AM - 2:30 PM\
Tuesday CLOSED\
","http://www.blankwallgallery.com/","21 1405 2138","","Fokionos Negri 55, 11361 Athens, Greece","Arts and Entertainment","38.001996315295","23.739910125732"
"The Penthouse - Dance & Night Club - Athens, Greece | Facebook - 148 Reviews - 9,834 Photos","Wednesday 9 PM - 6 AM\
Thursday 9 PM - 6 AM\
Friday CLOSED\
Saturday CLOSED\
Sunday 9 PM - 6 AM\
Monday 9 PM - 6 AM\
Tuesday 8 PM - 2 AM\
","","698 091 2622","","Triptolemou 35, 11854 Athens, Greece","Arts and Entertainment","37.97768","23.71168"
"Blondie's - 2,907 Photos - 437 Reviews - Dance & Night Club - xanthou 5,kolonaki, 10673 Athens, Greece","","http://blondiesprojekt.tumblr.com/","21 0338 8123","","xanthou 5,kolonaki, 10673 Athens, Greece","Arts and Entertainment","37.97818","23.74151"
"Xenaki Ceramic art&design Studio ","Wednesday 9:30 AM - 8:30 PM\
Thursday 9:30 AM - 8:30 PM\
Friday 9:30 AM - 8:30 PM\
Saturday 9:30 AM - 8:30 PM\
Sunday 9:30 AM - 8:30 PM\
Monday 9:30 AM - 7 PM\
Tuesday CLOSED\
","http://www.ceramicdesign.gr/","21 0652 7577","","","Arts and Entertainment",\N,\N
"Evripides Art Gallery ","Wednesday 11 AM - 5 PM\
Thursday 11 AM - 5 PM\
Friday 11 AM - 5 PM\
Saturday 11 AM - 8:30 PM\
Sunday 11 AM - 8:30 PM\
Monday 11 AM - 4 PM\
Tuesday CLOSED\
","http://www.evripides-art.gr/","21 0361 5909","","10 Iraklitou Str. and Skoufa, 106 73 Athens, Greece","Arts and Entertainment","37.9781","23.73995"
"Popeye loves Olive ","Wednesday 12 PM - 8 PM\
Thursday 12 PM - 8 PM\
Friday 12 PM - 8 PM\
Saturday 12 PM - 8 PM\
Sunday 12 PM - 8 PM\
Monday 12 PM - 8 PM\
Tuesday CLOSED\
","http://www.popeyelovesolive.com/","21 0867 3461","info@popeyelovesolive.com","Limpona 5, Plateia Agias Eirinis, 10560 Athens, Greece","Arts and Entertainment","37.977622967624","23.728409604763"
"My Pastaflora ","Wednesday 8:30 AM - 1:30 AM\
Thursday 8:30 AM - 1:30 AM\
Friday 8:30 AM - 1:30 AM\
Saturday 8:30 AM - 1:30 AM\
Sunday 8:30 AM - 1:30 AM\
Monday 8:30 AM - 1:30 AM\
Tuesday 8:30 AM - 1:30 AM\
","http://www.mypastaflora.gr/","21 3031 4568","","Frygias 11 & Lydias, Vyronas, 16231 Athens, Greece","Arts and Entertainment","37.958822533","23.762347766"
"SKOUFA GALLERY ","Wednesday 10 AM - 3:30 PM\
Thursday 10 AM - 3:30 PM\
Friday 10 AM - 3:30 PM\
Saturday 10 AM - 3:30 PM, 5:30 PM - 9 PM\
Sunday 10 AM - 3:30 PM, 5:30 PM - 8 PM\
Monday 10:30 AM - 3:30 PM\
Tuesday CLOSED\
","https://www.instagram.com/skoufa_gallery/","21 0364 3025","","Skoufa 4, Kolonaki, 106 73 Athens, Greece","Arts and Entertainment","37.97748","23.74056"
"MAZE ","","http://www.mazeathens.com/","694 089 0275","","Orfeos 174, 118 55 Athens, Greece","Arts and Entertainment","37.97935245133","23.695106506348"
"Folie Club ","Wednesday 11 PM - 3:30 AM\
Thursday 11 PM - 3:30 AM\
Friday 11 PM - 3:30 AM\
Saturday 11 PM - 3:30 AM\
Sunday 11 PM - 4 AM\
Monday 11 PM - 4 AM\
Tuesday CLOSED\
","","697 815 7802","","Esslin 2, Ampelókipoi, 11523 Athens, Greece","Arts and Entertainment","37.987007586517","23.760332465172"
"Groove House Studios ","","https://twitter.com/Groovehstudios","21 0883 5618","info@groovehousestudios.gr","Pavlou Mela 11, 12131 Athens, Greece","Arts and Entertainment","37.998229868891","23.744931221008"
"Encore Studios ","","","21 0771 4542","","Salonon 13 Ampelokipoi, 11527 Athens, Greece","Arts and Entertainment","37.98755","23.7679699"
"Lillium Dance School ","Wednesday 6 PM - 11 PM\
Thursday 6 PM - 11 PM\
Friday 6 PM - 11 PM\
Saturday 6 PM - 11 PM\
Sunday 6 PM - 11 PM\
Monday 10 AM - 2 PM\
Tuesday CLOSED\
","","693 698 8839","","Flountzi 8, 124 61 Athens, Greece","Arts and Entertainment","38.013932685376","23.661782741547"
"Art Dance ","Wednesday 12 PM - 11 PM\
Thursday 12 PM - 11 PM\
Friday 12 PM - 11 PM\
Saturday 12 PM - 11 PM\
Sunday 12 PM - 11 PM\
Monday 10 AM - 6 PM\
Tuesday CLOSED\
","http://www.artdance.gr/","21 0271 8628","","Vyzantiou 2, 14234 Athens, Greece","Arts and Entertainment","38.03967605843","23.762095684491"
"The BOX ","Wednesday 12 PM - 6 PM\
Thursday 12 PM - 6 PM\
Friday 12 PM - 6 PM\
Saturday 12 PM - 6 PM\
Sunday 12 PM - 6 PM\
Monday CLOSED\
Tuesday CLOSED\
","http://www.thebox-athens.org/","693 861 8551","","Dorylaiou 12, 115 21 Athens, Greece","Arts and Entertainment","37.983273799","23.755970237"
"Comme il FauX Bar ","Wednesday 8 PM - 3 AM\
Thursday 8 PM - 3 AM\
Friday 8 PM - 3 AM\
Saturday 8 PM - 3 AM\
Sunday 8 PM - 3 AM\
Monday 8 PM - 3 AM\
Tuesday 7 PM - 3 AM\
","","21 3031 4053","commeilfaux@gmail.com","Plateia Karytsi 6, 10561 Athens, Greece","Arts and Entertainment","37.978200556713","23.73184216015"
"MatchPoint - 920 Photos - 139 Reviews - Bar - Ainianos 1, 10434 Athens, Greece","Wednesday 11 AM - 12:30 AM\
Thursday 11 AM - 12:30 AM\
Friday 11 AM - 12:30 AM\
Saturday 11 AM - 1 AM\
Sunday 11 AM - 2 AM\
Monday 11:30 AM - 2 AM\
Tuesday CLOSED\
","","21 0825 0898","matchpoint.athens@gmail.com","Ainianos 1, 10434 Athens, Greece","Arts and Entertainment","37.991681386015","23.73079738047"
"ROUTE 32 Rock BAR ","Wednesday 8 PM - 4 AM\
Thursday 8 PM - 4 AM\
Friday CLOSED\
Saturday CLOSED\
Sunday 8 PM - 4 AM\
Monday 8 PM - 4 AM\
Tuesday CLOSED\
","","21 5501 0691","","LEOFOROS VOULIAGMENIS 32 METRO ARGYROUPOLIS, 16452 Athens, Greece","Arts and Entertainment","37.904052609791","23.746060689738"
"Ekivolos Tattoo Studio ","Wednesday 11 AM - 8 PM\
Thursday 11 AM - 8 PM\
Friday 11 AM - 8 PM\
Saturday 11 AM - 8 PM\
Sunday 11 AM - 8 PM\
Monday 11 AM - 6 PM\
Tuesday CLOSED\
","","21 0331 7558","ekivolostattoo@gmail.com","miaouli 6 monastiraki 1st floor, 10554 Athens, Greece","Arts and Entertainment","37.977208616659","23.72570514679"
"Poems n' Crimes Art Bar ","Wednesday 9 AM - 1 AM\
Thursday 9 AM - 1 AM\
Friday 9 AM - 1 AM\
Saturday 9 AM - 1 AM\
Sunday 9 AM - 1 AM\
Monday 9 AM - 1 AM\
Tuesday 10 AM - 1 AM\
","https://www.youtube.com/channel/poemsandcrimes","21 0322 8839","poemsandcrimes@gmail.com","Agias Eirinis 17, 105 51 Athens, Greece","Arts and Entertainment","37.977041539167","23.726792866667"
"The Four Twenty Kolektiv ","","https://www.instagram.com/thefourtwentykolektiv/","","","","Arts and Entertainment",\N,\N
"Thedanceclub Byagioianargiroi ","","http://www.thedanceclub.gr/","21 0261 0258","","Leoforos Dimokratias 53, 13561 Athens, Greece","Arts and Entertainment","38.0291545","23.7193478"
"Big bar Athens ","Wednesday 10 PM - 3 AM\
Thursday 10 PM - 3 AM\
Friday 10 PM - 3 AM\
Saturday 10 PM - 3 AM\
Sunday 10 PM - 4 AM\
Monday 10 PM - 5 AM\
Tuesday 10 PM - 3 AM\
","http://www.bigbar.gr/","694 628 2845","bearclubgazi@yahoo.co.uk","12, Falaisias str., 11854 Athens, Greece","Arts and Entertainment","37.9811176","23.7091423"
"Krama artspace ","","https://www.krama-artspace.com/","694 702 8948","kramadance@hotmail.com","Sokratous 11, Athens, Greece","Arts and Entertainment","37.98088","23.7258299"
"Milonga Danzarin - Dance School - Athens, Greece - 30 Reviews - 106 Photos | Facebook","Wednesday 8 PM - 1 AM\
Thursday 8 PM - 1 AM\
Friday CLOSED\
Saturday CLOSED\
Sunday CLOSED\
Monday CLOSED\
Tuesday 8 PM - 1 AM\
","http://www.danzarin.net/","693 710 6972","","Thessalonikis 17, 11851 Athens, Greece","Arts and Entertainment","37.975585424621","23.71348135231"
"EMST National Museum of Contemporary Art, Athens - Contemporary Art Museum - Athens, Greece - 625 Reviews - 2,675 Photos | Facebook","","http://www.emst.gr/","21 1101 9000","","Kallirrois Avenue & Amvr. Frantzi Str, former Fix factory, 11743 Athens, Greece","Arts and Entertainment","37.9630775","23.7263966"
"Mister. E of Athens - Alive Escape Rooms ","Wednesday 3 PM - 11 PM\
Thursday 3 PM - 11 PM\
Friday 3 PM - 11 PM\
Saturday CLOSED\
Sunday 3 PM - 11 PM\
Monday 3 PM - 11 PM\
Tuesday 3 PM - 11 PM\
","http://www.mister-e.gr/","21 0322 7381","","Athinas 7, 105 54 Athens, Greece","Arts and Entertainment","37.9771843","23.7260857"
"State of Concept Athens ","Wednesday 4:30 PM - 8:30 PM\
Thursday 4:30 PM - 8:30 PM\
Friday 4:30 PM - 8:30 PM\
Saturday 4:30 PM - 8:30 PM\
Sunday 4:30 PM - 8:30 PM\
Monday 12 PM - 5 PM\
Tuesday CLOSED\
","http://stateofconcept.org/","21 3031 8576","","","Arts and Entertainment",\N,\N
"Steam Athens - 8,893 Photos - 515 Reviews - Dance & Night Club - 3, Eurimedontos st., 10435 Athens, Greece","Wednesday 11:59 PM - 8 AM\
Thursday 11:59 PM - 8 AM\
Friday CLOSED\
Saturday CLOSED\
Sunday 11:59 PM - 8 AM\
Monday 11:59 PM - 8 AM\
Tuesday CLOSED\
","http://steamathens.com/","693 666 0260","","3, Eurimedontos st., 10435 Athens, Greece","Arts and Entertainment","37.98075626969","23.713366985321"
"Root Artspace ","","http://www.rootartspace.gr/","21 0345 0003","athina@rootartspace.gr","10 Irakleidon, 11851 Athens, Greece","Arts and Entertainment","37.975042306825","23.71900392228"
"To Treno sto Rouf railway carriage theatre - Performance Art Theatre - Athens, Greece | Facebook - 92 Reviews - 2,385 Photos","Wednesday 7:30 PM - 1 AM\
Thursday 7:30 PM - 1 AM\
Friday 7:30 PM - 1 AM\
Saturday 7:30 PM - 1 AM\
Sunday 7:30 PM - 1 AM\
Monday 7:30 PM - 1 AM\
Tuesday 7:30 PM - 1 AM\
","http://totrenostorouf.gr/","","","Konstantinoupoleos Avenue, 11854 Athens, Greece","Arts and Entertainment","37.973965260566","23.703646659851"
"CAN Christina Androulidaki gallery ","Wednesday 11:45 PM - 3 PM\
Thursday 11:45 PM - 3 PM\
Friday 12 PM - 3 PM, 5 PM - 8 PM\
Saturday 12 PM - 3 PM, 5 PM - 8 PM\
Sunday 12 PM - 3 PM, 5 PM - 8 PM\
Monday 12 PM - 4 PM\
Tuesday CLOSED\
","http://www.can-gallery.com/","21 0339 0833","","42 Anagnostopoulou str, Kolonaki, 10673 Athens, Greece","Arts and Entertainment","37.98002","23.73976"
"Rabbithole ","","http://www.rabbitholespace.com/","21 0524 9903","","Germanikou 20, Metaxourgeio, 104 35 Athens, Greece","Arts and Entertainment","37.98279","23.718"
"Astron Bar ","Wednesday 10 PM - 5 AM\
Thursday 10 PM - 5 AM\
Friday CLOSED\
Saturday 10 PM - 5 AM\
Sunday 10 PM - 6:30 AM\
Monday 10 PM - 6:30 AM\
Tuesday CLOSED\
","https://soundcloud.com/astron-bar","698 388 5327","","Taki 3 str, 10554 Athens, Greece","Arts and Entertainment","37.9786339","23.7244415"
"Beatniks Road Bar ","Wednesday 7 PM - 5 AM\
Thursday 7 PM - 5 AM\
Friday 7 PM - 5 AM\
Saturday 7 PM - 5 AM\
Sunday 7 PM - 5 AM\
Monday 7 PM - 5 AM\
Tuesday 7 PM - 5 AM\
","http://www.inexarchia.gr/go-out/beatniks-road-bar-sta-exarheia-aythentiko-orthadiko-kai-rokenrol","697 923 3432","","Koletti 14 Exarcheia, 106 81 Athens, Greece","Arts and Entertainment","37.98479","23.73427"
"Kalfayan Galleries ","","http://www.kalfayangalleries.com/","21 0721 7679","","11 Haritos Str., Kolonaki, 10675 Athens, Greece","Arts and Entertainment","37.97798164718","23.742565687055"
"FAUST Bar-Theatre-Arts - Bar - Athens, Greece - 1,415 Reviews - 3,005 Photos | Facebook","Wednesday 8 PM - 3 AM\
Thursday 8 PM - 3 AM\
Friday 8 PM - 3 AM\
Saturday 8 PM - 3 AM\
Sunday 8 PM - 3 AM\
Monday 2 PM - 6 AM\
Tuesday 2 PM - 3 AM\
","http://www.faust.gr/","21 0323 4095","","Kalamiotou 11 & Athinaidos 12, 10560 Athens, Greece","Arts and Entertainment","37.97683","23.72888"
"Elite Events Athens ","Wednesday 10 AM - 7 PM\
Thursday 10 AM - 7 PM\
Friday 10 AM - 7 PM\
Saturday 10 AM - 7 PM\
Sunday 10 AM - 7 PM\
Monday CLOSED\
Tuesday CLOSED\
","http://www.eliteeventsathens.gr/","","","239, Syngrou Avenue, 17122 Athens, Greece","Arts and Entertainment","37.94590990475","23.703247987384"
"El Convento Del Arte ","Wednesday 9 PM - 3 AM\
Thursday 9 PM - 3 AM\
Friday 9 PM - 3 AM\
Saturday 9 PM - 3 AM\
Sunday 9 PM - 3 AM\
Monday 9 PM - 3 AM\
Tuesday 9 PM - 3 AM\
","http://elconvento.gr/","21 0520 0602","arttankltd@gmail.com","Virginias Benaki 7, 10436 Athens, Greece","Arts and Entertainment","37.985131","23.7187073"
"RO-mania music club ","Wednesday 11 PM - 7 AM\
Thursday 11 PM - 7 AM\
Friday CLOSED\
Saturday 11 PM - 7 AM\
Sunday 11 PM - 7 AM\
Monday 8 AM - 9 AM, 11 PM - 7 AM\
Tuesday 11 PM - 7 AM\
","","699 979 2889","","Admitou 10 , Plateia Attikis, 10446 Athens, Greece","Arts and Entertainment","37.996235424616","23.723096658462"
"Void ","","http://void.photo/","","","Tousa Mpotsari 20, 11741 Athens, Greece","Arts and Entertainment","37.964170893192","23.724707365036"
"Ikastikos Kiklos Sianti ","Wednesday 10 AM - 3 PM\
Thursday 10 AM - 3 PM\
Friday 10 AM - 3 PM\
Saturday 10 AM - 8 PM\
Sunday 10 AM - 8 PM\
Monday 10 AM - 4 PM\
Tuesday CLOSED\
","http://ikastikos-kiklos.com/","21 0724 5432","","Vassileos Alexandrou 2, 11634 Athens, Greece","Arts and Entertainment","37.9745059","23.7502292"
"Dybbuk - Athens, Greece | Facebook","Wednesday 11:59 PM - 6 AM\
Thursday 11:59 PM - 6 AM\
Friday CLOSED\
Saturday 11:59 PM - 6 AM\
Sunday 11:59 PM - 6 AM\
Monday 11:59 PM - 6 AM\
Tuesday CLOSED\
","http://dybbuk.book-now.online/","694 790 7054","","Stadiou 7 , Athens, 10675 Athens, Greece","Arts and Entertainment","37.978117745517","23.744461872333"
"Cinderella Mykonos - 231 Photos - 203 Reviews - Dance & Night Club - ","Wednesday 11 PM - 6 AM\
Thursday 11 PM - 6 AM\
Friday CLOSED\
Saturday CLOSED\
Sunday 11 PM - 6 AM\
Monday 11 PM - 6 AM\
Tuesday CLOSED\
","https://www.cinderellamykonos.com/","21 0722 2977","","","Arts and Entertainment",\N,\N
"Horos Theatre Company ","Wednesday 6 PM - 11 PM\
Thursday 6 PM - 11 PM\
Friday 6 PM - 11 PM\
Saturday 6 PM - 11 PM\
Sunday 6 PM - 11 PM\
Monday 6 PM - 11 PM\
Tuesday 6 PM - 11 PM\
","http://www.htco.gr/","21 0342 6736","","Praviou 6, Athens, Greece","Arts and Entertainment","37.97634","23.70534"
"Artventure Productions ","Wednesday 9 AM - 5 PM\
Thursday 9 AM - 5 PM\
Friday 9 AM - 5 PM\
Saturday 9 AM - 5 PM\
Sunday 9 AM - 5 PM\
Monday CLOSED\
Tuesday CLOSED\
","http://www.artventure.gr/","21 0923 9008","info@artventure.gr","6 Belogianni st, 17343 Athens, Greece","Arts and Entertainment","37.9318","23.7299599"
"Ktima 48 ","","http://www.ktima48.gr/","21 1400 6150","","Leoforos Athinon Souniou 48th km, Anavyssos, 19013 Athens, Greece","Arts and Entertainment","37.71919726338","23.915381264481"
"Kinitiras ","","https://www.kinitiras.com/","21 0924 8328","","Erechtheiou 22, Acropolis, 11742 Athens, Greece","Arts and Entertainment","37.9674","23.72542"
"Salon de Bricolage - 2,122 Photos - 780 Reviews - Dance & Night Club - Amerikis 2, 106 75 Athens, Greece","","http://www.salondebricolage.gr/","697 220 7511","","Amerikis 2, 106 75 Athens, Greece","Arts and Entertainment","37.97755","23.73419"
"Roha's Cocktail Bar ","Wednesday 4 PM - 3 AM\
Thursday 4 PM - 3 AM\
Friday 4 PM - 3 AM\
Saturday 4 PM - 3 AM\
Sunday 4 PM - 6 AM\
Monday 4 PM - 6 AM\
Tuesday 4 PM - 6 AM\
","https://www.instagram.com/rohascocktailbar/","21 0724 1562","rohascocktailbar@gmail.com","Chatzigianni Mexi 6, 11528 Athens, Greece","Arts and Entertainment","37.976376305883","23.751795841176"
"S.G.Art Gallery ","Wednesday 11 AM - 4 PM\
Thursday 11 AM - 4 PM\
Friday 11 AM - 4 PM\
Saturday 6 PM - 9 PM\
Sunday 6 PM - 9 PM\
Monday 11 AM - 3 PM\
Tuesday CLOSED\
","","21 0724 2240","","","Arts and Entertainment","37.9793568","23.7424667"
"Glory Hill Studio ","","","21 0331 4828","","KTENA 1, 10563 Athens, Greece","Arts and Entertainment","37.97653","23.72978"
"Plisskën Festival - Festival - Athens, Greece | Facebook - 103 Reviews - 4,520 Photos","","http://www.plisskenfestival.gr/","","","127, Pireos Street, 11854 Athens, Greece","Arts and Entertainment","37.97515774974","23.710341453552"
"Fresh Radio ","","http://www.freshradio.gr/","","","Athens, Greece","Arts and Entertainment","37.948133055272","23.664976815967"
